Grid No,Center,Region area (no of pixels)
1,"(29.254614292475154, 40.62565073355419)",2113
2,"(34.87371663244353, 62.07186858316222)",2922
3,"(22.704068241469816, 55.55380577427822)",1524
4,"(42.96475071451254, 52.930771673547156)",3149
5,"(53.87778551532033, 34.80466573816156)",2872
6,"(51.438515081206496, 38.7215777262181)",2586
7,"(45.258828417116746, 51.28084752804321)",2407
8,"(39.3109517601043, 40.077574967405475)",3068
9,"(52.42952081147254, 36.93179433368311)",2859
10,"(50.54391304347826, 47.426521739130436)",2300
11,"(51.889108259295824, 47.62356038170451)",3039
12,"(50.004634994206256, 59.509385863267674)",4315
